Feature,Importance
Glucose,0.2754018703835614
BMI,0.16674968097647241
Age,0.12462957835964135
DiabetesPedigreeFunction,0.1152019687714683
Insulin,0.10156265131332791
BloodPressure,0.07660910645504629
SkinThickness,0.0714270271332067
Pregnancies,0.0684181166072757
