,precision,recall,f1-score,support
0,0.8522727272727273,0.75,0.7978723404255319,100.0
1,0.6212121212121212,0.7592592592592593,0.6833333333333333,54.0
accuracy,0.7532467532467533,0.7532467532467533,0.7532467532467533,0.7532467532467533
macro avg,0.7367424242424243,0.7546296296296297,0.7406028368794326,154.0
weighted avg,0.7712514757969304,0.7532467532467533,0.7577093119646312,154.0
